datetime,plant,temperature,air-humidity,soil-humidity
2020-04-11 11:20:29.543126,Nagamorich,23.7,22,506
2020-04-11 11:21:32.538469,Nagamorich,,,496
2020-04-11 11:22:37.666662,Nagamorich,21.5,24,495
2020-04-11 11:23:42.756697,Nagamorich,21.3,26,549
2020-04-11 11:24:51.880496,Nagamorich,21,26,495
2020-04-11 11:25:57.016554,Nagamorich,20.9,25,577
2020-04-11 11:27:02.171409,Nagamorich,20.7,26,495
2020-04-11 11:28:07.306644,Nagamorich,20.8,25,492
2020-04-11 11:29:12.464370,Nagamorich,,,497
2020-04-11 11:30:17.584731,Nagamorich,,,496
2020-04-11 11:31:26.648940,Nagamorich,21,34,499
2020-04-11 11:32:31.770279,Nagamorich,,,505
2020-04-11 11:34:43.354948,Nagamorich,20.8,28,506
2020-04-11 11:35:48.400787,Nagamorich,20.4,26,507
2020-04-11 11:36:53.523104,Nagamorich,20.2,27,507
2020-04-11 11:38:02.921354,Nagamorich,20.3,27,507
2020-04-11 11:40:16.549534,Nagamorich,20.4,26,507
2020-04-11 11:41:22.008039,Nagamorich,20.5,26,508
2020-04-11 11:42:31.136852,Nagamorich,20.6,26,509
2020-04-11 11:43:40.227574,Nagamorich,20.6,26,507
2020-04-11 11:44:45.107980,Nagamorich,20.5,26,508
2020-04-11 11:45:50.474170,Nagamorich,20.6,26,507
2020-04-11 11:46:55.289622,Nagamorich,20.7,26,509
2020-04-11 11:48:00.736850,Nagamorich,20.9,26,508
2020-04-11 11:49:05.875701,Nagamorich,20.9,25,508
2020-04-11 11:50:15.033378,Nagamorich,20.9,25,506
2020-04-11 11:51:20.100835,Nagamorich,20.9,25,508
2020-04-11 11:52:39.236296,Nagamorich,21,26,508
2020-04-11 11:53:43.881849,Nagamorich,21,26,507
2020-04-11 11:54:49.351435,Nagamorich,21.1,26,508
2020-04-11 11:55:55.386074,Nagamorich,21.1,25,507
2020-04-11 11:57:00.506957,Nagamorich,21.2,25,507
2020-04-11 11:58:05.635877,Nagamorich,21.3,25,507
2020-04-11 11:59:14.727821,Nagamorich,21.3,25,507
2020-04-11 12:01:28.995886,Nagamorich,21.3,25,507
2020-04-11 12:02:39.002376,Nagamorich,21.3,25,508
2020-04-11 12:03:47.822884,Nagamorich,21.5,25,507
2020-04-11 12:04:56.949328,Nagamorich,21.4,23,507
2020-04-11 12:06:02.054440,Nagamorich,21.4,23,507
2020-04-11 12:07:11.223762,Nagamorich,21.5,23,508
2020-04-11 12:08:16.336133,Nagamorich,21.5,24,508
2020-04-11 12:09:21.475825,Nagamorich,21.6,23,507
2020-04-11 12:10:26.565645,Nagamorich,21.6,23,508
2020-04-11 12:13:45.961898,Nagamorich,21.8,22,508
2020-04-11 12:14:55.060898,Nagamorich,21.9,22,509
2020-04-11 12:16:05.397078,Nagamorich,22.1,22,510
2020-04-11 12:17:22.220997,Nagamorich,22.1,22,510
2020-04-11 12:18:27.320809,Nagamorich,22.1,23,510
2020-04-11 12:20:51.443561,Nagamorich,22.1,22,510
2020-04-11 12:22:03.320492,Nagamorich,22.1,21,508
